SeasonSource,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,AC,AF,AR,AS,AST,AY,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,WHA,WHD,WHH,B365H,B365D,B365A
2425,2025-02-03,Chelsea,West Ham,2,1,H,S Attwell,3,10,0,14,5,1,4,11,0,22,3,1,0,A,3,7.0,5.0,1.36,1.36,4.75,8.0
2425,2025-02-02,Arsenal,Man City,5,1,H,P Bankes,2,7,0,7,4,0,5,6,0,12,7,0,1,H,2,3.75,3.5,2.0,1.95,3.5,4.0
2425,2025-02-02,Man United,Crystal Palace,0,2,A,J Brooks,0,13,0,11,3,1,11,12,0,17,2,0,0,D,3,3.6,3.4,2.05,2.0,3.5,3.8
2425,2025-02-02,Brentford,Tottenham,0,2,A,J Gillett,3,11,0,13,2,1,10,4,0,20,4,1,0,A,0,3.0,4.0,2.1,2.1,3.9,3.2
2425,2025-02-01,Ipswich,Southampton,1,2,A,M Oliver,2,14,0,9,4,3,1,11,0,15,6,1,1,D,0,3.6,3.75,1.95,1.95,3.6,3.8
2425,2025-02-01,Nott'm Forest,Brighton,7,0,H,S Hooper,6,13,0,10,5,3,4,8,0,14,9,0,3,H,1,2.88,3.4,2.45,2.38,3.5,2.8
2425,2025-02-01,Bournemouth,Liverpool,0,2,A,D England,3,9,0,19,7,3,3,15,0,14,3,1,0,A,2,1.67,4.2,4.5,4.5,4.33,1.67
2425,2025-02-01,Everton,Leicester,4,0,H,D Bond,6,13,0,9,1,0,5,7,0,13,7,0,3,H,0,4.5,3.6,1.8,1.75,3.75,4.5
2425,2025-02-01,Newcastle,Fulham,1,2,A,C Kavanagh,7,15,0,15,4,4,4,10,0,11,4,0,1,H,4,4.4,4.0,1.73,1.7,4.0,4.75
2425,2025-02-01,Wolves,Aston Villa,2,0,H,A Madley,8,13,0,10,3,3,5,20,0,8,5,0,1,H,2,2.1,3.6,3.3,3.3,3.6,2.1
2425,2025-01-26,Fulham,Man United,0,1,A,A Taylor,0,9,0,4,1,1,3,7,0,9,3,0,0,D,0,3.0,3.4,2.3,2.3,3.4,3.1
2425,2025-01-26,Aston Villa,West Ham,1,1,D,P Bankes,3,16,0,14,4,3,4,13,0,14,4,0,1,H,2,5.5,4.2,1.57,1.53,4.33,5.75
2425,2025-01-26,Tottenham,Leicester,1,2,A,R Jones,4,16,0,12,3,5,6,6,0,15,6,0,1,H,1,5.8,5.0,1.44,1.45,5.5,5.5
2425,2025-01-26,Crystal Palace,Brentford,1,2,A,T Harrington,7,11,0,13,6,2,4,8,0,16,5,0,0,D,2,3.5,3.6,2.05,2.05,3.75,3.3
2425,2025-01-25,Liverpool,Ipswich,4,1,H,M Salisbury,4,11,0,3,3,2,3,10,0,16,6,0,3,H,0,19.0,10.0,1.12,1.08,12.0,15.0
2425,2025-01-25,Bournemouth,Nott'm Forest,5,0,H,C Pawson,9,12,0,18,4,3,3,9,0,16,10,0,1,H,2,3.4,3.5,2.05,2.05,3.7,3.4
2425,2025-01-25,Brighton,Everton,0,1,A,T Robinson,1,11,0,3,1,4,9,8,0,16,1,1,0,A,3,5.0,3.9,1.65,1.67,3.75,5.5
2425,2025-01-25,Southampton,Newcastle,1,3,A,S Barrott,8,5,0,17,9,0,3,10,0,12,5,2,1,A,1,1.44,4.8,6.5,6.5,5.25,1.42
2425,2025-01-25,Wolves,Arsenal,0,1,A,M Oliver,5,10,1,9,3,1,1,20,1,9,4,0,0,D,0,1.44,4.5,6.5,7.0,4.5,1.45
2425,2025-01-25,Man City,Chelsea,3,1,H,J Brooks,4,8,0,10,4,2,2,6,0,15,6,1,1,D,3,3.25,4.0,2.0,2.05,4.0,3.3
2425,2025-01-20,Chelsea,Wolves,3,1,H,S Hooper,6,14,0,9,4,2,3,8,0,19,7,1,1,D,4,7.0,5.0,1.36,1.36,5.75,6.5
2425,2025-01-19,Ipswich,Man City,0,6,A,S Barrott,7,7,0,17,9,1,4,4,0,8,4,3,0,A,0,1.36,5.0,7.5,7.5,5.25,1.36
2425,2025-01-19,Nott'm Forest,Southampton,3,2,H,A Taylor,8,18,0,10,4,4,2,4,0,14,5,0,3,H,0,7.5,4.6,1.4,1.38,4.75,8.0
2425,2025-01-19,Man United,Brighton,1,3,A,P Bankes,2,12,0,6,3,3,4,13,0,10,1,1,1,D,3,3.3,3.6,2.05,2.1,3.6,3.3
2425,2025-01-19,Everton,Tottenham,3,2,H,D England,8,14,0,11,6,1,3,14,0,12,6,0,3,H,2,2.38,3.6,2.88,2.8,3.5,2.45
2425,2025-01-18,Arsenal,Aston Villa,2,2,D,C Kavanagh,1,18,0,8,4,3,10,10,0,18,6,0,1,H,2,6.0,4.2,1.53,1.5,4.1,7.0
2425,2025-01-18,West Ham,Crystal Palace,0,2,A,T Bramall,4,10,0,12,7,0,2,13,1,7,0,0,0,D,1,2.62,3.3,2.62,2.6,3.5,2.63
2425,2025-01-18,Leicester,Fulham,0,2,A,M Salisbury,2,8,0,17,2,1,5,8,0,8,4,0,0,D,3,1.85,3.75,3.9,4.33,3.7,1.8
2425,2025-01-18,Brentford,Liverpool,0,2,A,A Madley,15,14,0,37,8,3,2,6,0,11,6,0,0,D,2,1.44,5.0,6.0,6.5,5.0,1.42
